type,length_um,width_um,gap_um,thickness_um,frequency_hz,capacitance_fF,force_pN,max_deflection_nm
cantilever,100,3,1,1,137590.22234064006,2.6561999999999997,13280999.999999998,104781.06508875737
clamped_clamped,100,3,1,1,875613.2792203722,2.6561999999999997,13280999.999999998,104781.06508875737
cantilever,100,3,2,1,137590.22234064006,1.3280999999999998,3320249.9999999995,26195.266272189343
clamped_clamped,100,3,2,1,875613.2792203722,1.3280999999999998,3320249.9999999995,26195.266272189343
cantilever,100,3,3,1,137590.22234064006,0.8853999999999999,1475666.6666666665,11642.340565417486
clamped_clamped,100,3,3,1,875613.2792203722,0.8853999999999999,1475666.6666666665,11642.340565417486
cantilever,100,4,1,1,137590.22234064006,3.5415999999999994,17708000.0,104781.06508875739
clamped_clamped,100,4,1,1,875613.2792203722,3.5415999999999994,17708000.0,104781.06508875739
cantilever,100,4,2,1,137590.22234064006,1.7707999999999997,4427000.0,26195.266272189347
clamped_clamped,100,4,2,1,875613.2792203722,1.7707999999999997,4427000.0,26195.266272189347
cantilever,100,4,3,1,137590.22234064006,1.180533333333333,1967555.5555555548,11642.340565417482
clamped_clamped,100,4,3,1,875613.2792203722,1.180533333333333,1967555.5555555548,11642.340565417482
cantilever,100,5,1,1,137590.22234064006,4.426999999999999,22134999.999999993,104781.06508875737
clamped_clamped,100,5,1,1,875613.2792203722,4.426999999999999,22134999.999999993,104781.06508875737
cantilever,100,5,2,1,137590.22234064006,2.2134999999999994,5533749.999999998,26195.266272189343
clamped_clamped,100,5,2,1,875613.2792203722,2.2134999999999994,5533749.999999998,26195.266272189343
cantilever,100,5,3,1,137590.22234064006,1.4756666666666662,2459444.444444443,11642.340565417482
clamped_clamped,100,5,3,1,875613.2792203722,1.4756666666666662,2459444.444444443,11642.340565417482
cantilever,200,3,1,1,34397.555585160015,5.312399999999999,26561999.999999996,1676497.041420118
clamped_clamped,200,3,1,1,218903.31980509305,5.312399999999999,26561999.999999996,1676497.041420118
cantilever,200,3,2,1,34397.555585160015,2.6561999999999997,6640499.999999999,419124.2603550295
clamped_clamped,200,3,2,1,218903.31980509305,2.6561999999999997,6640499.999999999,419124.2603550295
cantilever,200,3,3,1,34397.555585160015,1.7707999999999997,2951333.333333333,186277.44904667977
clamped_clamped,200,3,3,1,218903.31980509305,1.7707999999999997,2951333.333333333,186277.44904667977
